Frequency,Relative Permittivity,Loss Factor,Electric Conductivity
5.688529.E+07,7.883344.E+01,1.212747.E+02,3.837863.E-01
5.888437.E+07,7.738107.E+01,1.179578.E+02,3.864080.E-01
6.095369.E+07,7.601362.E+01,1.146443.E+02,3.887512.E-01
6.309573.E+07,7.468574.E+01,1.114729.E+02,3.912811.E-01
6.531306.E+07,7.341843.E+01,1.083594.E+02,3.937185.E-01
6.760830.E+07,7.217533.E+01,1.053239.E+02,3.961377.E-01
6.998420.E+07,7.101626.E+01,1.023856.E+02,3.986194.E-01
7.244360.E+07,6.988286.E+01,9.950290.E+01,4.010099.E-01
7.498942.E+07,6.883462.E+01,9.669508.E+01,4.033887.E-01
7.762471.E+07,6.779781.E+01,9.395509.E+01,4.057324.E-01
8.035261.E+07,6.677051.E+01,9.133671.E+01,4.082863.E-01
8.317638.E+07,6.581207.E+01,8.875656.E+01,4.106954.E-01
8.609938.E+07,6.488333.E+01,8.624680.E+01,4.131068.E-01
8.912509.E+07,6.399234.E+01,8.380163.E+01,4.155008.E-01
9.225714.E+07,6.314494.E+01,8.143641.E+01,4.179632.E-01
9.549926.E+07,6.234034.E+01,7.914473.E+01,4.204762.E-01
9.885531.E+07,6.156916.E+01,7.689824.E+01,4.228982.E-01
1.023293.E+08,6.082093.E+01,7.469758.E+01,4.252320.E-01
1.059254.E+08,6.009348.E+01,7.255523.E+01,4.275512.E-01
1.096478.E+08,5.948817.E+01,7.047144.E+01,4.298654.E-01
1.135011.E+08,5.885575.E+01,6.856912.E+01,4.329602.E-01
1.174898.E+08,5.814496.E+01,6.666277.E+01,4.357153.E-01
1.216186.E+08,5.750317.E+01,6.475636.E+01,4.381288.E-01
1.258925.E+08,5.690959.E+01,6.290952.E+01,4.405911.E-01
1.303167.E+08,5.632565.E+01,6.113356.E+01,4.431993.E-01
1.348963.E+08,5.577761.E+01,5.939576.E+01,4.457331.E-01
1.396368.E+08,5.523707.E+01,5.770117.E+01,4.482331.E-01
1.445440.E+08,5.472974.E+01,5.606851.E+01,4.508566.E-01
1.496236.E+08,5.423737.E+01,5.447627.E+01,4.534473.E-01
1.548817.E+08,5.376158.E+01,5.293392.E+01,4.560931.E-01
1.603245.E+08,5.331590.E+01,5.142395.E+01,4.586536.E-01
1.659587.E+08,5.287464.E+01,4.996211.E+01,4.612753.E-01
1.717908.E+08,5.243427.E+01,4.853602.E+01,4.638564.E-01
1.778279.E+08,5.202927.E+01,4.715981.E+01,4.665428.E-01
1.840772.E+08,5.163052.E+01,4.582889.E+01,4.693088.E-01
1.905461.E+08,5.126059.E+01,4.453051.E+01,4.720381.E-01
1.972423.E+08,5.088609.E+01,4.326523.E+01,4.747428.E-01
2.041738.E+08,5.053257.E+01,4.204296.E+01,4.775432.E-01
2.113489.E+08,5.018665.E+01,4.085342.E+01,4.803390.E-01
2.187762.E+08,4.985995.E+01,3.970347.E+01,4.832233.E-01
2.264644.E+08,4.954180.E+01,3.858381.E+01,4.860987.E-01
2.344229.E+08,4.923367.E+01,3.750095.E+01,4.890595.E-01
2.426610.E+08,4.893823.E+01,3.644454.E+01,4.919850.E-01
2.511886.E+08,4.865029.E+01,3.542258.E+01,4.949936.E-01
2.600160.E+08,4.837066.E+01,3.442496.E+01,4.979581.E-01
2.691535.E+08,4.810534.E+01,3.346717.E+01,5.011161.E-01
2.786121.E+08,4.784880.E+01,3.254035.E+01,5.043611.E-01
2.884032.E+08,4.759776.E+01,3.163277.E+01,5.075240.E-01
2.985383.E+08,4.735762.E+01,3.075603.E+01,5.107986.E-01
3.090295.E+08,4.712503.E+01,2.990744.E+01,5.141604.E-01
3.198895.E+08,4.690126.E+01,2.908418.E+01,5.175785.E-01
3.311311.E+08,4.668557.E+01,2.829074.E+01,5.211512.E-01
3.427678.E+08,4.646964.E+01,2.750930.E+01,5.245646.E-01
3.548134.E+08,4.627861.E+01,2.675168.E+01,5.280444.E-01
3.672823.E+08,4.609112.E+01,2.604187.E+01,5.320979.E-01
3.801894.E+08,4.588977.E+01,2.534571.E+01,5.360728.E-01
3.935501.E+08,4.569368.E+01,2.466115.E+01,5.399240.E-01
4.073803.E+08,4.551015.E+01,2.399734.E+01,5.438543.E-01
4.216965.E+08,4.533298.E+01,2.335983.E+01,5.480107.E-01
4.365158.E+08,4.516439.E+01,2.274203.E+01,5.522665.E-01
4.518559.E+08,4.499545.E+01,2.214364.E+01,5.566324.E-01
4.677351.E+08,4.483946.E+01,2.156576.E+01,5.611566.E-01
4.841724.E+08,4.468042.E+01,2.100781.E+01,5.658484.E-01
5.011872.E+08,4.452569.E+01,2.046960.E+01,5.707273.E-01
5.188000.E+08,4.437771.E+01,1.994808.E+01,5.757320.E-01
5.370318.E+08,4.423407.E+01,1.943837.E+01,5.807366.E-01
5.559043.E+08,4.411371.E+01,1.895339.E+01,5.861466.E-01
5.754399.E+08,4.395891.E+01,1.849406.E+01,5.920409.E-01
5.956621.E+08,4.381717.E+01,1.804054.E+01,5.978179.E-01
6.165950.E+08,4.367982.E+01,1.760282.E+01,6.038119.E-01
6.382635.E+08,4.354345.E+01,1.717706.E+01,6.099134.E-01
6.606934.E+08,4.341226.E+01,1.677516.E+01,6.165751.E-01
6.839116.E+08,4.327442.E+01,1.638320.E+01,6.233301.E-01
7.079458.E+08,4.316189.E+01,1.599906.E+01,6.301062.E-01
7.328245.E+08,4.302603.E+01,1.564342.E+01,6.377510.E-01
7.585776.E+08,4.288666.E+01,1.529195.E+01,6.453306.E-01
7.852356.E+08,4.275407.E+01,1.494925.E+01,6.530383.E-01
8.128305.E+08,4.261986.E+01,1.460552.E+01,6.604447.E-01
8.413951.E+08,4.251482.E+01,1.428519.E+01,6.686601.E-01
8.709636.E+08,4.238049.E+01,1.401266.E+01,6.789536.E-01
9.015711.E+08,4.222173.E+01,1.370856.E+01,6.875612.E-01
9.332543.E+08,4.206464.E+01,1.337948.E+01,6.946381.E-01
9.660509.E+08,4.202229.E+01,1.302492.E+01,6.999940.E-01
1.000000.E+09,3.688195.E+01,1.160821.E+01,6.457802.E-01
1.500000.E+09,3.565395.E+01,9.752077.E+00,8.137814.E-01
2.000000.E+09,3.479215.E+01,9.017931.E+00,1.003359.E+00
2.500000.E+09,3.410535.E+01,8.692177.E+00,1.208893.E+00
3.000000.E+09,3.354959.E+01,8.622009.E+00,1.438961.E+00
3.500000.E+09,3.307110.E+01,8.683662.E+00,1.690793.E+00
4.000000.E+09,3.260494.E+01,8.805147.E+00,1.959368.E+00
4.500000.E+09,3.215973.E+01,8.972816.E+00,2.246263.E+00
5.000000.E+09,3.172787.E+01,9.166912.E+00,2.549837.E+00
5.500000.E+09,3.132239.E+01,9.392523.E+00,2.873852.E+00
6.000000.E+09,3.092833.E+01,9.625606.E+00,3.212911.E+00
6.500000.E+09,3.056595.E+01,9.863696.E+00,3.566748.E+00
7.000000.E+09,3.018585.E+01,1.011621.E+01,3.939448.E+00
7.500000.E+09,2.973703.E+01,1.037434.E+01,4.328537.E+00
8.000000.E+09,2.933878.E+01,1.060006.E+01,4.717561.E+00
8.500000.E+09,2.896080.E+01,1.080638.E+01,5.109971.E+00
9.000000.E+09,2.860045.E+01,1.101461.E+01,5.514818.E+00
9.500000.E+09,2.820159.E+01,1.123025.E+01,5.935159.E+00
1.000000.E+10,2.781389.E+01,1.145379.E+01,6.371897.E+00
1.050000.E+10,2.741362.E+01,1.164161.E+01,6.800200.E+00
1.100000.E+10,2.702192.E+01,1.179856.E+01,7.220063.E+00
1.150000.E+10,2.664853.E+01,1.195861.E+01,7.650642.E+00
1.200000.E+10,2.629240.E+01,1.212663.E+01,8.095447.E+00
1.250000.E+10,2.595684.E+01,1.228911.E+01,8.545746.E+00
1.300000.E+10,2.562016.E+01,1.244098.E+01,8.997407.E+00
1.350000.E+10,2.525170.E+01,1.255732.E+01,9.430836.E+00
1.400000.E+10,2.486472.E+01,1.266700.E+01,9.865546.E+00
1.450000.E+10,2.448791.E+01,1.278938.E+01,1.031661.E+01
1.500000.E+10,2.413158.E+01,1.293011.E+01,1.078979.E+01
1.550000.E+10,2.377759.E+01,1.304371.E+01,1.124740.E+01
1.600000.E+10,2.342278.E+01,1.309268.E+01,1.165381.E+01
1.650000.E+10,2.304615.E+01,1.310499.E+01,1.202929.E+01
1.700000.E+10,2.267593.E+01,1.314276.E+01,1.242953.E+01
1.750000.E+10,2.234194.E+01,1.322841.E+01,1.287850.E+01
1.800000.E+10,2.203048.E+01,1.330455.E+01,1.332270.E+01
1.850000.E+10,2.174150.E+01,1.332060.E+01,1.370929.E+01
1.900000.E+10,2.143377.E+01,1.329627.E+01,1.405409.E+01
1.950000.E+10,2.110594.E+01,1.332213.E+01,1.445199.E+01
2.000000.E+10,2.075279.E+01,1.337261.E+01,1.487872.E+01
2.050000.E+10,2.044583.E+01,1.340407.E+01,1.528657.E+01
2.100000.E+10,2.022946.E+01,1.339168.E+01,1.564493.E+01
2.150000.E+10,1.997582.E+01,1.336028.E+01,1.597987.E+01
2.200000.E+10,1.962154.E+01,1.331802.E+01,1.629978.E+01
2.250000.E+10,1.926799.E+01,1.327112.E+01,1.661153.E+01
2.300000.E+10,1.907302.E+01,1.328717.E+01,1.700120.E+01
2.350000.E+10,1.889688.E+01,1.333006.E+01,1.742687.E+01
2.400000.E+10,1.863224.E+01,1.329415.E+01,1.774970.E+01
2.450000.E+10,1.832339.E+01,1.316286.E+01,1.794055.E+01
2.500000.E+10,1.804405.E+01,1.309116.E+01,1.820697.E+01
2.550000.E+10,1.785337.E+01,1.310604.E+01,1.859221.E+01
2.600000.E+10,1.767531.E+01,1.314410.E+01,1.901182.E+01
2.650000.E+10,1.748109.E+01,1.308136.E+01,1.928493.E+01
2.700000.E+10,1.725534.E+01,1.294608.E+01,1.944560.E+01
2.750000.E+10,1.698471.E+01,1.288298.E+01,1.970918.E+01
2.800000.E+10,1.673005.E+01,1.290662.E+01,2.010434.E+01
2.850000.E+10,1.654055.E+01,1.292741.E+01,2.049631.E+01
2.900000.E+10,1.640347.E+01,1.282311.E+01,2.068764.E+01
2.950000.E+10,1.623982.E+01,1.271145.E+01,2.086107.E+01
3.000000.E+10,1.594872.E+01,1.262515.E+01,2.107062.E+01
3.050000.E+10,1.567521.E+01,1.256641.E+01,2.132213.E+01
3.100000.E+10,1.557179.E+01,1.254674.E+01,2.163774.E+01
3.150000.E+10,1.557158.E+01,1.255110.E+01,2.199438.E+01
3.200000.E+10,1.537006.E+01,1.248073.E+01,2.221823.E+01
3.250000.E+10,1.513344.E+01,1.232656.E+01,2.228664.E+01
3.300000.E+10,1.493173.E+01,1.228397.E+01,2.255133.E+01
3.350000.E+10,1.480547.E+01,1.228730.E+01,2.289921.E+01
3.400000.E+10,1.474509.E+01,1.223327.E+01,2.313881.E+01
3.450000.E+10,1.467326.E+01,1.207045.E+01,2.316658.E+01
3.500000.E+10,1.453914.E+01,1.203810.E+01,2.343933.E+01
3.550000.E+10,1.418884.E+01,1.201327.E+01,2.372514.E+01
3.600000.E+10,1.399080.E+01,1.199639.E+01,2.402550.E+01
3.650000.E+10,1.392996.E+01,1.197169.E+01,2.430904.E+01
3.700000.E+10,1.384959.E+01,1.184687.E+01,2.438512.E+01
3.750000.E+10,1.368799.E+01,1.173456.E+01,2.448033.E+01
3.800000.E+10,1.339660.E+01,1.164622.E+01,2.461999.E+01
3.850000.E+10,1.330496.E+01,1.160192.E+01,2.484907.E+01
3.900000.E+10,1.330632.E+01,1.156442.E+01,2.509042.E+01
3.950000.E+10,1.333536.E+01,1.147048.E+01,2.520567.E+01
4.000000.E+10,1.319067.E+01,1.142141.E+01,2.541552.E+01
4.050000.E+10,1.294837.E+01,1.136447.E+01,2.560492.E+01
4.100000.E+10,1.276417.E+01,1.156756.E+01,2.638426.E+01
4.150000.E+10,1.253055.E+01,1.154442.E+01,2.665261.E+01
4.200000.E+10,1.250581.E+01,1.127954.E+01,2.635483.E+01
4.250000.E+10,1.254213.E+01,1.098520.E+01,2.597265.E+01
4.300000.E+10,1.244193.E+01,1.091980.E+01,2.612176.E+01
4.350000.E+10,1.222590.E+01,1.092296.E+01,2.643316.E+01
4.400000.E+10,1.220237.E+01,1.085795.E+01,2.657786.E+01
4.450000.E+10,1.230543.E+01,1.088914.E+01,2.695709.E+01
4.500000.E+10,1.219384.E+01,1.083301.E+01,2.711946.E+01
4.550000.E+10,1.199723.E+01,1.070370.E+01,2.709348.E+01
4.600000.E+10,1.190165.E+01,1.067613.E+01,2.732064.E+01
4.650000.E+10,1.184043.E+01,1.079652.E+01,2.792904.E+01
4.700000.E+10,1.166522.E+01,1.082700.E+01,2.830905.E+01
4.750000.E+10,1.152400.E+01,1.053858.E+01,2.784808.E+01
4.800000.E+10,1.153330.E+01,1.030777.E+01,2.752487.E+01
4.850000.E+10,1.145084.E+01,1.033141.E+01,2.787537.E+01
4.900000.E+10,1.132669.E+01,1.034390.E+01,2.819679.E+01
4.950000.E+10,1.140884.E+01,1.022755.E+01,2.816413.E+01
5.000000.E+10,1.159073.E+01,1.012094.E+01,2.815206.E+01
5.050000.E+10,1.159442.E+01,1.033733.E+01,2.904150.E+01
5.100000.E+10,1.113528.E+01,1.037442.E+01,2.943427.E+01
5.150000.E+10,1.095853.E+01,1.016642.E+01,2.912692.E+01
5.200000.E+10,1.092860.E+01,1.007071.E+01,2.913285.E+01
5.250000.E+10,1.083798.E+01,9.969307.E+00,2.911680.E+01
5.300000.E+10,1.070935.E+01,9.781273.E+00,2.883969.E+01
5.350000.E+10,1.071321.E+01,9.532314.E+00,2.837079.E+01
5.400000.E+10,1.082807.E+01,9.539003.E+00,2.865604.E+01
5.450000.E+10,1.079954.E+01,9.705989.E+00,2.942766.E+01
5.500000.E+10,1.066112.E+01,9.821561.E+00,3.005125.E+01
5.550000.E+10,1.067124.E+01,9.702172.E+00,2.995583.E+01
5.600000.E+10,1.091733.E+01,9.577280.E+00,2.983662.E+01
5.650000.E+10,1.077457.E+01,9.901471.E+00,3.112200.E+01
5.700000.E+10,1.005372.E+01,9.834172.E+00,3.118402.E+01
5.750000.E+10,9.796983.E+00,9.431428.E+00,3.016926.E+01
5.800000.E+10,1.010244.E+01,9.303957.E+00,3.002030.E+01
5.850000.E+10,1.030001.E+01,9.253377.E+00,3.011449.E+01
5.900000.E+10,1.028658.E+01,8.972195.E+00,2.944897.E+01
5.950000.E+10,1.033602.E+01,8.756054.E+00,2.898310.E+01
6.000000.E+10,1.026558.E+01,9.118039.E+00,3.043492.E+01
6.050000.E+10,1.013845.E+01,9.472730.E+00,3.188232.E+01
6.100000.E+10,1.026624.E+01,9.481118.E+00,3.217427.E+01
6.150000.E+10,1.013664.E+01,9.147083.E+00,3.129515.E+01
6.200000.E+10,9.779102.E+00,8.882268.E+00,3.063620.E+01
6.250000.E+10,9.288732.E+00,9.043174.E+00,3.144273.E+01
6.300000.E+10,9.243274.E+00,9.132499.E+00,3.200734.E+01
6.350000.E+10,9.577432.E+00,9.013404.E+00,3.184065.E+01
6.400000.E+10,1.013400.E+01,8.132174.E+00,2.895383.E+01
6.450000.E+10,1.022088.E+01,7.540779.E+00,2.705798.E+01
6.500000.E+10,9.920330.E+00,8.171327.E+00,2.954781.E+01
6.550000.E+10,9.720882.E+00,8.910061.E+00,3.246694.E+01
6.600000.E+10,1.039970.E+01,9.169911.E+00,3.366886.E+01
6.650000.E+10,1.062930.E+01,8.773823.E+00,3.245861.E+01
6.700000.E+10,9.837826.E+00,8.267454.E+00,3.081527.E+01
6.750000.E+10,9.377518.E+00,8.626837.E+00,3.239476.E+01
6.800000.E+10,9.338500.E+00,8.325678.E+00,3.149546.E+01
6.850000.E+10,9.320451.E+00,8.144544.E+00,3.103678.E+01
6.900000.E+10,9.290316.E+00,7.942268.E+00,3.048688.E+01
6.950000.E+10,9.320448.E+00,7.820202.E+00,3.023585.E+01
7.000000.E+10,9.310613.E+00,7.913683.E+00,3.081741.E+01
7.050000.E+10,9.199700.E+00,7.992967.E+00,3.134848.E+01
7.100000.E+10,9.022040.E+00,8.107529.E+00,3.202331.E+01
7.150000.E+10,8.856256.E+00,8.189785.E+00,3.257601.E+01
7.200000.E+10,8.742836.E+00,8.257212.E+00,3.307389.E+01
7.250000.E+10,8.689035.E+00,8.302159.E+00,3.348486.E+01
7.300000.E+10,8.620106.E+00,8.195676.E+00,3.328335.E+01
7.350000.E+10,8.509285.E+00,8.010965.E+00,3.275605.E+01
7.400000.E+10,8.497170.E+00,7.663273.E+00,3.154753.E+01
7.450000.E+10,8.708086.E+00,7.574647.E+00,3.139338.E+01
7.500000.E+10,8.846052.E+00,7.709595.E+00,3.216712.E+01
7.550000.E+10,8.826907.E+00,7.745402.E+00,3.253196.E+01
7.600000.E+10,8.854494.E+00,7.682999.E+00,3.248357.E+01
7.650000.E+10,8.755559.E+00,7.733732.E+00,3.291319.E+01
7.700000.E+10,8.501390.E+00,7.696500.E+00,3.296882.E+01
7.750000.E+10,8.233680.E+00,7.478663.E+00,3.224371.E+01
7.800000.E+10,8.216291.E+00,7.378214.E+00,3.201586.E+01
7.850000.E+10,8.211220.E+00,7.347072.E+00,3.208510.E+01
7.900000.E+10,8.136779.E+00,7.172803.E+00,3.152357.E+01
7.950000.E+10,8.231762.E+00,7.062814.E+00,3.123664.E+01
8.000000.E+10,8.334674.E+00,7.144026.E+00,3.179453.E+01
8.050000.E+10,8.419366.E+00,7.347179.E+00,3.290303.E+01
8.100000.E+10,8.407055.E+00,7.413095.E+00,3.340442.E+01
8.150000.E+10,8.412293.E+00,7.694806.E+00,3.488789.E+01
8.200000.E+10,8.180792.E+00,7.670638.E+00,3.499168.E+01
8.250000.E+10,8.123005.E+00,7.420460.E+00,3.405682.E+01
8.300000.E+10,8.334724.E+00,7.377599.E+00,3.406532.E+01
8.350000.E+10,8.286619.E+00,7.383751.E+00,3.429911.E+01
8.400000.E+10,8.278420.E+00,7.252181.E+00,3.388967.E+01
8.450000.E+10,8.416915.E+00,7.088376.E+00,3.332137.E+01
8.500000.E+10,8.498881.E+00,7.034097.E+00,3.326187.E+01
8.550000.E+10,8.514401.E+00,6.984683.E+00,3.322249.E+01
8.600000.E+10,8.455459.E+00,6.984434.E+00,3.341559.E+01
8.650000.E+10,8.440241.E+00,7.096136.E+00,3.414738.E+01
8.700000.E+10,8.244477.E+00,7.263639.E+00,3.515547.E+01
8.750000.E+10,7.990417.E+00,7.193821.E+00,3.501765.E+01
8.800000.E+10,7.915827.E+00,7.041837.E+00,3.447371.E+01
8.850000.E+10,7.822495.E+00,6.972339.E+00,3.432742.E+01
8.900000.E+10,7.832565.E+00,6.867213.E+00,3.400086.E+01
8.950000.E+10,8.050660.E+00,6.870585.E+00,3.420867.E+01
9.000000.E+10,8.113517.E+00,7.075639.E+00,3.542645.E+01
9.050000.E+10,8.025344.E+00,7.069909.E+00,3.559441.E+01
9.100000.E+10,8.180992.E+00,6.930733.E+00,3.508649.E+01
9.150000.E+10,8.275327.E+00,7.070947.E+00,3.599300.E+01
9.200000.E+10,8.116704.E+00,7.167218.E+00,3.668241.E+01
9.250000.E+10,7.976813.E+00,7.038244.E+00,3.621808.E+01
9.300000.E+10,8.082802.E+00,6.884330.E+00,3.561755.E+01
9.350000.E+10,8.035371.E+00,6.872507.E+00,3.574754.E+01
9.400000.E+10,7.820455.E+00,6.628460.E+00,3.466250.E+01
