figure,pdf_page,study_area,study_area_label,country,scenario,band,rgb,available,successful_microenvironment_measurements,digitized_mean_mw_m2,median_pixel_rows,pixel_resolution_mw_m2,across_x_spread_mw_m2,resolved_from_raster
A6,22,LC,"Urban area, large city",Austria,NU,Mobile DL 2.1 GHz,204-236-230,true,39,0.183276,4.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Austria,NU,Mobile DL 2.6 GHz,229-245-249,true,39,0.137457,3.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Belgium,NU,Broadcast,189-189-189,true,38,0.183276,4.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Belgium,NU,DECT,254-196-79,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,WiFi 5 GHz,158-154-200,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,ISM/WiFi 2.4 GHz,117-107-177,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile UL 700 MHz,8-48-107,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile UL 800 MHz,8-81-156,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile UL 900 MHz,33-113-181,true,38,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile UL 1.8 GHz,66-146-198,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile UL 2.1 GHz,107-174-214,true,38,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile UL 2.6 GHz,158-202-225,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile TDD 2.6 GHz,247-104-161,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile TDD 3.5 GHz,221-52-151,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile SDL 700 MHz,0-68-27,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile DL 700 MHz,0-109-44,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile DL 800 MHz,35-139-69,true,38,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile DL 900 MHz,65-174-118,true,38,0.137457,3.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile DL 1.4 GHz,102-194-164,true,38,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile DL 1.8 GHz,153-216-201,true,38,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile DL 2.1 GHz,204-236-230,true,38,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Belgium,NU,Mobile DL 2.6 GHz,229-245-249,true,38,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",France,NU,Broadcast,189-189-189,true,35,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",France,NU,DECT,254-196-79,true,35,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",France,NU,WiFi 5 GHz,158-154-200,true,35,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",France,NU,ISM/WiFi 2.4 GHz,117-107-177,true,35,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",France,NU,Mobile UL 700 MHz,8-48-107,true,35,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",France,NU,Mobile UL 800 MHz,8-81-156,true,35,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",France,NU,Mobile UL 900 MHz,33-113-181,true,35,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",France,NU,Mobile UL 1.8 GHz,66-146-198,true,35,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",France,NU,Mobile UL 2.1 GHz,107-174-214,true,35,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",France,NU,Mobile UL 2.6 GHz,158-202-225,true,35,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",France,NU,Mobile TDD 2.6 GHz,247-104-161,true,35,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",France,NU,Mobile TDD 3.5 GHz,221-52-151,true,35,0.458190,10.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",France,NU,Mobile SDL 700 MHz,0-68-27,true,35,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",France,NU,Mobile DL 700 MHz,0-109-44,true,35,0.274914,6.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",France,NU,Mobile DL 800 MHz,35-139-69,true,35,0.458190,10.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",France,NU,Mobile DL 900 MHz,65-174-118,true,35,0.274914,6.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",France,NU,Mobile DL 1.4 GHz,102-194-164,true,35,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",France,NU,Mobile DL 1.8 GHz,153-216-201,true,35,0.778923,17.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",France,NU,Mobile DL 2.1 GHz,204-236-230,true,35,0.412371,9.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",France,NU,Mobile DL 2.6 GHz,229-245-249,true,35,0.366552,8.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Hungary,NU,Broadcast,189-189-189,true,40,0.137457,3.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Hungary,NU,DECT,254-196-79,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,WiFi 5 GHz,158-154-200,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,ISM/WiFi 2.4 GHz,117-107-177,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile UL 700 MHz,8-48-107,true,40,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile UL 800 MHz,8-81-156,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile UL 900 MHz,33-113-181,true,40,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile UL 1.8 GHz,66-146-198,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile UL 2.1 GHz,107-174-214,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile UL 2.6 GHz,158-202-225,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile TDD 2.6 GHz,247-104-161,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile TDD 3.5 GHz,221-52-151,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile SDL 700 MHz,0-68-27,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile DL 700 MHz,0-109-44,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile DL 800 MHz,35-139-69,true,40,0.183276,4.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile DL 900 MHz,65-174-118,true,40,0.274914,6.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile DL 1.4 GHz,102-194-164,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile DL 1.8 GHz,153-216-201,true,40,0.274914,6.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile DL 2.1 GHz,204-236-230,true,40,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Hungary,NU,Mobile DL 2.6 GHz,229-245-249,true,40,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Italy,NU,Broadcast,189-189-189,true,28,0.137457,3.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Italy,NU,DECT,254-196-79,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,WiFi 5 GHz,158-154-200,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,ISM/WiFi 2.4 GHz,117-107-177,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,Mobile UL 700 MHz,8-48-107,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,Mobile UL 800 MHz,8-81-156,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,Mobile UL 900 MHz,33-113-181,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,Mobile UL 1.8 GHz,66-146-198,true,28,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Italy,NU,Mobile UL 2.1 GHz,107-174-214,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,Mobile UL 2.6 GHz,158-202-225,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,Mobile TDD 2.6 GHz,247-104-161,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,Mobile TDD 3.5 GHz,221-52-151,true,28,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Italy,NU,Mobile SDL 700 MHz,0-68-27,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,Mobile DL 700 MHz,0-109-44,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,Mobile DL 800 MHz,35-139-69,true,28,0.137457,3.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Italy,NU,Mobile DL 900 MHz,65-174-118,true,28,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Italy,NU,Mobile DL 1.4 GHz,102-194-164,true,28,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Italy,NU,Mobile DL 1.8 GHz,153-216-201,true,28,0.183276,4.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Italy,NU,Mobile DL 2.1 GHz,204-236-230,true,28,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Italy,NU,Mobile DL 2.6 GHz,229-245-249,true,28,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Netherlands,NU,Broadcast,189-189-189,true,22,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Netherlands,NU,DECT,254-196-79,true,22,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Netherlands,NU,WiFi 5 GHz,158-154-200,true,22,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Netherlands,NU,ISM/WiFi 2.4 GHz,117-107-177,true,22,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile UL 700 MHz,8-48-107,true,22,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile UL 800 MHz,8-81-156,true,22,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile UL 900 MHz,33-113-181,true,22,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile UL 1.8 GHz,66-146-198,true,22,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile UL 2.1 GHz,107-174-214,true,22,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile UL 2.6 GHz,158-202-225,true,22,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile TDD 2.6 GHz,247-104-161,true,22,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile TDD 3.5 GHz,221-52-151,true,22,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile SDL 700 MHz,0-68-27,true,22,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile DL 700 MHz,0-109-44,true,22,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile DL 800 MHz,35-139-69,true,22,0.229095,5.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile DL 900 MHz,65-174-118,true,22,0.137457,3.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile DL 1.4 GHz,102-194-164,true,22,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile DL 1.8 GHz,153-216-201,true,22,0.320733,7.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile DL 2.1 GHz,204-236-230,true,22,0.320733,7.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Netherlands,NU,Mobile DL 2.6 GHz,229-245-249,true,22,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Poland,NU,Broadcast,189-189-189,true,29,0.274914,6.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Poland,NU,DECT,254-196-79,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,WiFi 5 GHz,158-154-200,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,ISM/WiFi 2.4 GHz,117-107-177,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,Mobile UL 700 MHz,8-48-107,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,Mobile UL 800 MHz,8-81-156,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,Mobile UL 900 MHz,33-113-181,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,Mobile UL 1.8 GHz,66-146-198,true,29,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Poland,NU,Mobile UL 2.1 GHz,107-174-214,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,Mobile UL 2.6 GHz,158-202-225,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,Mobile TDD 2.6 GHz,247-104-161,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,Mobile TDD 3.5 GHz,221-52-151,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,Mobile SDL 700 MHz,0-68-27,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,Mobile DL 700 MHz,0-109-44,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,Mobile DL 800 MHz,35-139-69,true,29,0.229095,5.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Poland,NU,Mobile DL 900 MHz,65-174-118,true,29,0.320733,7.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Poland,NU,Mobile DL 1.4 GHz,102-194-164,true,29,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Poland,NU,Mobile DL 1.8 GHz,153-216-201,true,29,0.366552,8.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Poland,NU,Mobile DL 2.1 GHz,204-236-230,true,29,0.366552,8.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Poland,NU,Mobile DL 2.6 GHz,229-245-249,true,29,0.183276,4.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Spain,NU,Broadcast,189-189-189,true,40,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Spain,NU,DECT,254-196-79,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Spain,NU,WiFi 5 GHz,158-154-200,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Spain,NU,ISM/WiFi 2.4 GHz,117-107-177,true,40,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Spain,NU,Mobile UL 700 MHz,8-48-107,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Spain,NU,Mobile UL 800 MHz,8-81-156,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Spain,NU,Mobile UL 900 MHz,33-113-181,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Spain,NU,Mobile UL 1.8 GHz,66-146-198,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Spain,NU,Mobile UL 2.1 GHz,107-174-214,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Spain,NU,Mobile UL 2.6 GHz,158-202-225,true,40,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Spain,NU,Mobile TDD 2.6 GHz,247-104-161,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Spain,NU,Mobile TDD 3.5 GHz,221-52-151,true,40,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Spain,NU,Mobile SDL 700 MHz,0-68-27,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Spain,NU,Mobile DL 700 MHz,0-109-44,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Spain,NU,Mobile DL 800 MHz,35-139-69,true,40,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Spain,NU,Mobile DL 900 MHz,65-174-118,true,40,0.137457,3.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Spain,NU,Mobile DL 1.4 GHz,102-194-164,true,40,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Spain,NU,Mobile DL 1.8 GHz,153-216-201,true,40,0.229095,5.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Spain,NU,Mobile DL 2.1 GHz,204-236-230,true,40,0.183276,4.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Spain,NU,Mobile DL 2.6 GHz,229-245-249,true,40,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Switzerland,NU,Broadcast,189-189-189,true,47,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Switzerland,NU,DECT,254-196-79,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,WiFi 5 GHz,158-154-200,true,47,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Switzerland,NU,ISM/WiFi 2.4 GHz,117-107-177,true,47,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile UL 700 MHz,8-48-107,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile UL 800 MHz,8-81-156,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile UL 900 MHz,33-113-181,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile UL 1.8 GHz,66-146-198,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile UL 2.1 GHz,107-174-214,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile UL 2.6 GHz,158-202-225,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile TDD 2.6 GHz,247-104-161,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile TDD 3.5 GHz,221-52-151,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile SDL 700 MHz,0-68-27,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile DL 700 MHz,0-109-44,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile DL 800 MHz,35-139-69,true,47,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile DL 900 MHz,65-174-118,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile DL 1.4 GHz,102-194-164,true,47,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile DL 1.8 GHz,153-216-201,true,47,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile DL 2.1 GHz,204-236-230,true,47,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Switzerland,NU,Mobile DL 2.6 GHz,229-245-249,true,47,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",UK,NU,Broadcast,189-189-189,true,42,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",UK,NU,DECT,254-196-79,true,42,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",UK,NU,WiFi 5 GHz,158-154-200,true,42,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",UK,NU,ISM/WiFi 2.4 GHz,117-107-177,true,42,0.091638,2.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",UK,NU,Mobile UL 700 MHz,8-48-107,true,42,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",UK,NU,Mobile UL 800 MHz,8-81-156,true,42,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",UK,NU,Mobile UL 900 MHz,33-113-181,true,42,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",UK,NU,Mobile UL 1.8 GHz,66-146-198,true,42,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",UK,NU,Mobile UL 2.1 GHz,107-174-214,true,42,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",UK,NU,Mobile UL 2.6 GHz,158-202-225,true,42,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",UK,NU,Mobile TDD 2.6 GHz,247-104-161,true,42,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",UK,NU,Mobile TDD 3.5 GHz,221-52-151,true,42,0.274914,6.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",UK,NU,Mobile SDL 700 MHz,0-68-27,true,42,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",UK,NU,Mobile DL 700 MHz,0-109-44,true,42,0.000000,0.0,0.045819,0.000000,false
A6,22,LC,"Urban area, large city",UK,NU,Mobile DL 800 MHz,35-139-69,true,42,0.137457,3.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",UK,NU,Mobile DL 900 MHz,65-174-118,true,42,0.137457,3.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",UK,NU,Mobile DL 1.4 GHz,102-194-164,true,42,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",UK,NU,Mobile DL 1.8 GHz,153-216-201,true,42,0.229095,5.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",UK,NU,Mobile DL 2.1 GHz,204-236-230,true,42,0.229095,5.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",UK,NU,Mobile DL 2.6 GHz,229-245-249,true,42,0.045819,1.0,0.045819,0.000000,true
A6,22,LC,"Urban area, large city",Austria,DL,Broadcast,189-189-189,false,0,,,0.045819,,false
