study_area,microenvironment,country,scenario,reported_result,successful_measurements,status
LC,Industrial area,Netherlands,DL,1,1,ok
LC,Industrial area,Netherlands,UL,1,1,ok
LC,Industrial area,Poland,NU,1,1,ok
LC,Industrial area,Poland,DL,1,1,ok
LC,Industrial area,Poland,UL,FT**,,failed_low_throughput
LC,Industrial area,Spain,NU,1,1,ok
LC,Industrial area,Spain,DL,1,1,ok
LC,Industrial area,Spain,UL,1,1,ok
LC,Industrial area,Switzerland,NU,1,1,ok
LC,Industrial area,Switzerland,DL,1,1,ok
LC,Industrial area,Switzerland,UL,1,1,ok
LC,Industrial area,UK,NU,1,1,ok
LC,Industrial area,UK,DL,1,1,ok
LC,Industrial area,UK,UL,1,1,ok
LC,Urban business area,Austria,NU,1,1,ok
LC,Urban business area,Austria,DL,F*,,failed_phone_settings
LC,Urban business area,Austria,UL,F,,failed_phone_settings
LC,Urban business area,Belgium,NU,1,1,ok
LC,Urban business area,Belgium,DL,1,1,ok
LC,Urban business area,Belgium,UL,1,1,ok
LC,Urban business area,France,NU,1,1,ok
LC,Urban business area,France,DL,0,0,ok
LC,Urban business area,France,UL,0,0,ok
LC,Urban business area,Hungary,NU,1,1,ok
LC,Urban business area,Hungary,DL,1,1,ok
LC,Urban business area,Hungary,UL,1,1,ok
LC,Urban business area,Italy,NU,1,1,ok
LC,Urban business area,Italy,DL,1,1,ok
LC,Urban business area,Italy,UL,1,1,ok
LC,Urban business area,Netherlands,NU,1,1,ok
LC,Urban business area,Netherlands,DL,1,1,ok
LC,Urban business area,Netherlands,UL,1,1,ok
LC,Urban business area,Poland,NU,1,1,ok
LC,Urban business area,Poland,DL,1,1,ok
LC,Urban business area,Poland,UL,1,1,ok
LC,Urban business area,Spain,NU,1,1,ok
LC,Urban business area,Spain,DL,1,1,ok
LC,Urban business area,Spain,UL,1,1,ok
LC,Urban business area,Switzerland,NU,1,1,ok
LC,Urban business area,Switzerland,DL,1,1,ok
LC,Urban business area,Switzerland,UL,1,1,ok
LC,Urban business area,UK,NU,1,1,ok
LC,Urban business area,UK,DL,1,1,ok
LC,Urban business area,UK,UL,1,1,ok
LC,Urban residential central,Austria,NU,3,3,ok
LC,Urban residential central,Austria,DL,F*,,failed_phone_settings
LC,Urban residential central,Austria,UL,F,,failed_phone_settings
LC,Urban residential central,Belgium,NU,3,3,ok
LC,Urban residential central,Belgium,DL,1,1,ok
LC,Urban residential central,Belgium,UL,1,1,ok
LC,Urban residential central,France,NU,6,6,ok
LC,Urban residential central,France,DL,3,3,ok
LC,Urban residential central,France,UL,2,2,ok
LC,Urban residential central,Hungary,NU,3,3,ok
LC,Urban residential central,Hungary,DL,1,1,ok
LC,Urban residential central,Hungary,UL,1,1,ok
LC,Urban residential central,Italy,NU,3,3,ok
LC,Urban residential central,Italy,DL,1,1,ok
LC,Urban residential central,Italy,UL,1,1,ok
LC,Urban residential central,Netherlands,NU,1,1,ok
LC,Urban residential central,Netherlands,DL,1,1,ok
LC,Urban residential central,Netherlands,UL,1,1,ok
LC,Urban residential central,Poland,NU,3,3,ok
LC,Urban residential central,Poland,DL,1,1,ok
LC,Urban residential central,Poland,UL,1,1,ok
LC,Urban residential central,Spain,NU,3,3,ok
LC,Urban residential central,Spain,DL,3,3,ok
LC,Urban residential central,Spain,UL,3,3,ok
LC,Urban residential central,Switzerland,NU,3,3,ok
LC,Urban residential central,Switzerland,DL,1,1,ok
LC,Urban residential central,Switzerland,UL,1,1,ok
LC,Urban residential central,UK,NU,3,3,ok
LC,Urban residential central,UK,DL,1,1,ok
LC,Urban residential central,UK,UL,1,1,ok
LC,Urban residential non-central,Austria,NU,3,3,ok
LC,Urban residential non-central,Austria,DL,F*,,failed_phone_settings
LC,Urban residential non-central,Austria,UL,F,,failed_phone_settings
LC,Urban residential non-central,Belgium,NU,3,3,ok
LC,Urban residential non-central,Belgium,DL,1,1,ok
LC,Urban residential non-central,Belgium,UL,1,1,ok
LC,Urban residential non-central,France,NU,2,2,ok
LC,Urban residential non-central,France,DL,4,4,ok
LC,Urban residential non-central,France,UL,1,1,ok
LC,Urban residential non-central,Hungary,NU,3,3,ok
LC,Urban residential non-central,Hungary,DL,3,3,ok
LC,Urban residential non-central,Hungary,UL,1,1,ok
LC,Urban residential non-central,Italy,NU,3,3,ok
LC,Urban residential non-central,Italy,DL,1,1,ok
LC,Urban residential non-central,Italy,UL,2,2,ok
LC,Urban residential non-central,Netherlands,NU,3,3,ok
LC,Urban residential non-central,Netherlands,DL,1,1,ok
LC,Urban residential non-central,Netherlands,UL,1,1,ok
LC,Urban residential non-central,Poland,NU,3,3,ok
LC,Urban residential non-central,Poland,DL,1,1,ok
LC,Urban residential non-central,Poland,UL,1,1,ok
LC,Urban residential non-central,Spain,NU,2,2,ok
LC,Urban residential non-central,Spain,DL,1,1,ok
LC,Urban residential non-central,Spain,UL,1,1,ok
LC,Urban residential non-central,Switzerland,NU,3,3,ok
LC,Urban residential non-central,Switzerland,DL,1,1,ok
LC,Urban residential non-central,Switzerland,UL,1,1,ok
LC,Urban residential non-central,UK,NU,3,3,ok
LC,Urban residential non-central,UK,DL,1,1,ok
LC,Urban residential non-central,UK,UL,1,1,ok
LC,Urban residential outskirts,Austria,NU,3,3,ok
LC,Urban residential outskirts,Austria,DL,F*,,failed_phone_settings
LC,Urban residential outskirts,Austria,UL,F,,failed_phone_settings
LC,Urban residential outskirts,Belgium,NU,3,3,ok
LC,Urban residential outskirts,Belgium,DL,1,1,ok
LC,Urban residential outskirts,Belgium,UL,1,1,ok
LC,Urban residential outskirts,France,NU,6,6,ok
LC,Urban residential outskirts,France,DL,5,5,ok
LC,Urban residential outskirts,France,UL,4,4,ok
LC,Urban residential outskirts,Hungary,NU,3,3,ok
LC,Urban residential outskirts,Hungary,DL,1,1,ok
LC,Urban residential outskirts,Hungary,UL,1,1,ok
LC,Urban residential outskirts,Italy,NU,3,3,ok
LC,Urban residential outskirts,Italy,DL,2,2,ok
LC,Urban residential outskirts,Italy,UL,1,1,ok
LC,Urban residential outskirts,Netherlands,NU,3,3,ok
LC,Urban residential outskirts,Netherlands,DL,1,1,ok
LC,Urban residential outskirts,Netherlands,UL,1,1,ok
LC,Urban residential outskirts,Poland,NU,3,3,ok
LC,Urban residential outskirts,Poland,DL,1,1,ok
LC,Urban residential outskirts,Poland,UL,1,1,ok
LC,Urban residential outskirts,Spain,NU,3,3,ok
LC,Urban residential outskirts,Spain,DL,3,3,ok
LC,Urban residential outskirts,Spain,UL,3,3,ok
LC,Urban residential outskirts,Switzerland,NU,3,3,ok
LC,Urban residential outskirts,Switzerland,DL,1,1,ok
LC,Urban residential outskirts,Switzerland,UL,1,1,ok
LC,Urban residential outskirts,UK,NU,3,3,ok
LC,Urban residential outskirts,UK,DL,1,1,ok
LC,Urban residential outskirts,UK,UL,1,1,ok
LC,Urban park: central,Austria,NU,1,1,ok
LC,Urban park: central,Austria,DL,F*,,failed_phone_settings
LC,Urban park: central,Austria,UL,F,,failed_phone_settings
LC,Urban park: central,Belgium,NU,1,1,ok
LC,Urban park: central,Belgium,DL,1,1,ok
LC,Urban park: central,Belgium,UL,1,1,ok
LC,Urban park: central,France,NU,1,1,ok
LC,Urban park: central,France,DL,1,1,ok
LC,Urban park: central,France,UL,1,1,ok
LC,Urban park: central,Hungary,NU,1,1,ok
LC,Urban park: central,Hungary,DL,1,1,ok
LC,Urban park: central,Hungary,UL,1,1,ok
LC,Urban park: central,Italy,NU,1,1,ok
LC,Urban park: central,Italy,DL,1,1,ok
LC,Urban park: central,Italy,UL,1,1,ok
LC,Urban park: central,Netherlands,NU,1,1,ok
LC,Urban park: central,Netherlands,DL,1,1,ok
LC,Urban park: central,Netherlands,UL,1,1,ok
LC,Urban park: central,Poland,NU,1,1,ok
LC,Urban park: central,Poland,DL,1,1,ok
LC,Urban park: central,Poland,UL,1,1,ok
LC,Urban park: central,Spain,NU,1,1,ok
LC,Urban park: central,Spain,DL,1,1,ok
LC,Urban park: central,Spain,UL,1,1,ok
LC,Urban park: central,Switzerland,NU,1,1,ok
LC,Urban park: central,Switzerland,DL,1,1,ok
LC,Urban park: central,Switzerland,UL,1,1,ok
LC,Urban park: central,UK,NU,1,1,ok
LC,Urban park: central,UK,DL,1,1,ok
LC,Urban park: central,UK,UL,1,1,ok
LC,Urban park: non central,Austria,NU,1,1,ok
LC,Urban park: non central,Austria,DL,F*,,failed_phone_settings
LC,Urban park: non central,Austria,UL,F,,failed_phone_settings
LC,Urban park: non central,Belgium,NU,2,2,ok
LC,Urban park: non central,Belgium,DL,1,1,ok
LC,Urban park: non central,Belgium,UL,1,1,ok
LC,Urban park: non central,France,NU,1,1,ok
LC,Urban park: non central,France,DL,1,1,ok
LC,Urban park: non central,France,UL,1,1,ok
LC,Urban park: non central,Hungary,NU,1,1,ok
LC,Urban park: non central,Hungary,DL,1,1,ok
LC,Urban park: non central,Hungary,UL,3,3,ok
LC,Urban park: non central,Italy,NU,1,1,ok
LC,Urban park: non central,Italy,DL,1,1,ok
LC,Urban park: non central,Italy,UL,1,1,ok
LC,Urban park: non central,Netherlands,NU,1,1,ok
LC,Urban park: non central,Netherlands,DL,1,1,ok
LC,Urban park: non central,Netherlands,UL,1,1,ok
LC,Urban park: non central,Poland,NU,1,1,ok
LC,Urban park: non central,Poland,DL,1,1,ok
LC,Urban park: non central,Poland,UL,1,1,ok
LC,Urban park: non central,Spain,NU,1,1,ok
LC,Urban park: non central,Spain,DL,F,,failed_phone_settings
LC,Urban park: non central,Spain,UL,F,,failed_phone_settings
LC,Urban park: non central,Switzerland,NU,1,1,ok
LC,Urban park: non central,Switzerland,DL,1,1,ok
LC,Urban park: non central,Switzerland,UL,1,1,ok
LC,Urban park: non central,UK,NU,1,1,ok
LC,Urban park: non central,UK,DL,1,1,ok
LC,Urban park: non central,UK,UL,2,2,ok
LC,Urban park: outskirts,Austria,NU,1,1,ok
LC,Urban park: outskirts,Austria,DL,F*,,failed_phone_settings
LC,Urban park: outskirts,Austria,UL,F,,failed_phone_settings
LC,Urban park: outskirts,Belgium,NU,1,1,ok
LC,Urban park: outskirts,Belgium,DL,1,1,ok
LC,Urban park: outskirts,Belgium,UL,1,1,ok
LC,Urban park: outskirts,France,NU,1,1,ok
LC,Urban park: outskirts,France,DL,1,1,ok
LC,Urban park: outskirts,France,UL,1,1,ok
LC,Urban park: outskirts,Hungary,NU,1,1,ok
LC,Urban park: outskirts,Hungary,DL,1,1,ok
LC,Urban park: outskirts,Hungary,UL,0,0,ok
LC,Urban park: outskirts,Italy,NU,0,0,ok
LC,Urban park: outskirts,Italy,DL,1,1,ok
LC,Urban park: outskirts,Italy,UL,1,1,ok
LC,Urban park: outskirts,Netherlands,NU,0,0,ok
LC,Urban park: outskirts,Netherlands,DL,0,0,ok
LC,Urban park: outskirts,Netherlands,UL,0,0,ok
LC,Urban park: outskirts,Poland,NU,1,1,ok
LC,Urban park: outskirts,Poland,DL,2,2,ok
LC,Urban park: outskirts,Poland,UL,0,0,ok
LC,Urban park: outskirts,Spain,NU,1,1,ok
LC,Urban park: outskirts,Spain,DL,1,1,ok
LC,Urban park: outskirts,Spain,UL,1,1,ok
LC,Urban park: outskirts,Switzerland,NU,1,1,ok
LC,Urban park: outskirts,Switzerland,DL,1,1,ok
LC,Urban park: outskirts,Switzerland,UL,1,1,ok
LC,Urban park: outskirts,UK,NU,1,1,ok
LC,Urban park: outskirts,UK,DL,1,1,ok
LC,Urban park: outskirts,UK,UL,2,2,ok
LC,Urban school: Primary school,Austria,NU,0,0,ok
LC,Urban school: Primary school,Austria,DL,F*,,failed_phone_settings
LC,Urban school: Primary school,Austria,UL,F,,failed_phone_settings
LC,Urban school: Primary school,Belgium,NU,1,1,ok
LC,Urban school: Primary school,Belgium,DL,1,1,ok
LC,Urban school: Primary school,Belgium,UL,1,1,ok
LC,Urban school: Primary school,France,NU,0,0,ok
LC,Urban school: Primary school,France,DL,0,0,ok
LC,Urban school: Primary school,France,UL,0,0,ok
LC,Urban school: Primary school,Hungary,NU,1,1,ok
LC,Urban school: Primary school,Hungary,DL,2,2,ok
LC,Urban school: Primary school,Hungary,UL,0,0,ok
LC,Urban school: Primary school,Italy,NU,0,0,ok
LC,Urban school: Primary school,Italy,DL,0,0,ok
LC,Urban school: Primary school,Italy,UL,0,0,ok
LC,Urban school: Primary school,Netherlands,NU,0,0,ok
LC,Urban school: Primary school,Netherlands,DL,0,0,ok
LC,Urban school: Primary school,Netherlands,UL,0,0,ok
LC,Urban school: Primary school,Poland,NU,1,1,ok
LC,Urban school: Primary school,Poland,DL,1,1,ok
LC,Urban school: Primary school,Poland,UL,1,1,ok
LC,Urban school: Primary school,Spain,NU,1,1,ok
LC,Urban school: Primary school,Spain,DL,F,,failed_phone_settings
LC,Urban school: Primary school,Spain,UL,F,,failed_phone_settings
LC,Urban school: Primary school,Switzerland,NU,1,1,ok
LC,Urban school: Primary school,Switzerland,DL,1,1,ok
LC,Urban school: Primary school,Switzerland,UL,1,1,ok
LC,Urban school: Primary school,UK,NU,0,0,ok
LC,Urban school: Primary school,UK,DL,0,0,ok
LC,Urban school: Primary school,UK,UL,0,0,ok
LC,Urban school: High school,Austria,NU,2,2,ok
LC,Urban school: High school,Austria,DL,F*,,failed_phone_settings
LC,Urban school: High school,Austria,UL,F,,failed_phone_settings
LC,Urban school: High school,Belgium,NU,1,1,ok
LC,Urban school: High school,Belgium,DL,1,1,ok
LC,Urban school: High school,Belgium,UL,1,1,ok
LC,Urban school: High school,France,NU,0,0,ok
LC,Urban school: High school,France,DL,0,0,ok
LC,Urban school: High school,France,UL,0,0,ok
LC,Urban school: High school,Hungary,NU,1,1,ok
LC,Urban school: High school,Hungary,DL,1,1,ok
LC,Urban school: High school,Hungary,UL,1,1,ok
LC,Urban school: High school,Italy,NU,0,0,ok
LC,Urban school: High school,Italy,DL,0,0,ok
LC,Urban school: High school,Italy,UL,0,0,ok
LC,Urban school: High school,Netherlands,NU,0,0,ok
LC,Urban school: High school,Netherlands,DL,0,0,ok
LC,Urban school: High school,Netherlands,UL,0,0,ok
LC,Urban school: High school,Poland,NU,1,1,ok
LC,Urban school: High school,Poland,DL,FT,,failed_low_throughput
LC,Urban school: High school,Poland,UL,FT,,failed_low_throughput
LC,Urban school: High school,Spain,NU,0,0,ok
LC,Urban school: High school,Spain,DL,0,0,ok
LC,Urban school: High school,Spain,UL,0,0,ok
LC,Urban school: High school,Switzerland,NU,1,1,ok
LC,Urban school: High school,Switzerland,DL,1,1,ok
LC,Urban school: High school,Switzerland,UL,1,1,ok
LC,Urban school: High school,UK,NU,0,0,ok
LC,Urban school: High school,UK,DL,0,0,ok
LC,Urban school: High school,UK,UL,0,0,ok
LC,University,Austria,NU,0,0,ok
LC,University,Austria,DL,F*,,failed_phone_settings
LC,University,Austria,UL,F,,failed_phone_settings
LC,University,Belgium,NU,1,1,ok
LC,University,Belgium,DL,1,1,ok
LC,University,Belgium,UL,1,1,ok
LC,University,France,NU,1,1,ok
LC,University,France,DL,1,1,ok
LC,University,France,UL,1,1,ok
LC,University,Hungary,NU,1,1,ok
LC,University,Hungary,DL,1,1,ok
LC,University,Hungary,UL,1,1,ok
LC,University,Italy,NU,1,1,ok
LC,University,Italy,DL,1,1,ok
LC,University,Italy,UL,1,1,ok
LC,University,Netherlands,NU,1,1,ok
LC,University,Netherlands,DL,1,1,ok
LC,University,Netherlands,UL,1,1,ok
LC,University,Poland,NU,1,1,ok
LC,University,Poland,DL,1,1,ok
LC,University,Poland,UL,FT,,failed_low_throughput
LC,University,Spain,NU,1,1,ok
LC,University,Spain,DL,1,1,ok
LC,University,Spain,UL,F,,failed_phone_settings
LC,University,Switzerland,NU,1,1,ok
LC,University,Switzerland,DL,1,1,ok
LC,University,Switzerland,UL,1,1,ok
LC,University,UK,NU,1,1,ok
LC,University,UK,DL,1,1,ok
LC,University,UK,UL,1,1,ok
LC,Shopping mall,Austria,NU,1,1,ok
LC,Shopping mall,Austria,DL,F*,,failed_phone_settings
LC,Shopping mall,Austria,UL,F,,failed_phone_settings
LC,Shopping mall,Belgium,NU,1,1,ok
LC,Shopping mall,Belgium,DL,0,0,ok
LC,Shopping mall,Belgium,UL,0,0,ok
LC,Shopping mall,France,NU,1,1,ok
LC,Shopping mall,France,DL,1,1,ok
LC,Shopping mall,France,UL,1,1,ok
LC,Shopping mall,Hungary,NU,1,1,ok
LC,Shopping mall,Hungary,DL,0,0,ok
LC,Shopping mall,Hungary,UL,0,0,ok
LC,Shopping mall,Italy,NU,1,1,ok
LC,Shopping mall,Italy,DL,0,0,ok
LC,Shopping mall,Italy,UL,0,0,ok
LC,Shopping mall,Netherlands,NU,1,1,ok
LC,Shopping mall,Netherlands,DL,1,1,ok
LC,Shopping mall,Netherlands,UL,1,1,ok
LC,Shopping mall,Poland,NU,1,1,ok
LC,Shopping mall,Poland,DL,1,1,ok
LC,Shopping mall,Poland,UL,1,1,ok
LC,Shopping mall,Spain,NU,1,1,ok
LC,Shopping mall,Spain,DL,1,1,ok
LC,Shopping mall,Spain,UL,1,1,ok
LC,Shopping mall,Switzerland,NU,1,1,ok
LC,Shopping mall,Switzerland,DL,0,0,ok
LC,Shopping mall,Switzerland,UL,0,0,ok
LC,Shopping mall,UK,NU,1,1,ok
LC,Shopping mall,UK,DL,0,0,ok
LC,Shopping mall,UK,UL,0,0,ok
LC,Bus stations,Austria,NU,2,2,ok
LC,Bus stations,Austria,DL,F*,,failed_phone_settings
LC,Bus stations,Austria,UL,F,,failed_phone_settings
LC,Bus stations,Belgium,NU,2,2,ok
LC,Bus stations,Belgium,DL,0,0,ok
LC,Bus stations,Belgium,UL,0,0,ok
LC,Bus stations,France,NU,2,2,ok
LC,Bus stations,France,DL,2,2,ok
LC,Bus stations,France,UL,2,2,ok
LC,Bus stations,Hungary,NU,3,3,ok
LC,Bus stations,Hungary,DL,0,0,ok
LC,Bus stations,Hungary,UL,0,0,ok
LC,Bus stations,Italy,NU,2,2,ok
LC,Bus stations,Italy,DL,0,0,ok
LC,Bus stations,Italy,UL,0,0,ok
LC,Bus stations,Netherlands,NU,2,2,ok
LC,Bus stations,Netherlands,DL,2,2,ok
LC,Bus stations,Netherlands,UL,2,2,ok
LC,Bus stations,Poland,NU,2,2,ok
LC,Bus stations,Poland,DL,1,1,ok
LC,Bus stations,Poland,UL,1,1,ok
LC,Bus stations,Spain,NU,2,2,ok
LC,Bus stations,Spain,DL,1,1,ok
LC,Bus stations,Spain,UL,1,1,ok
LC,Bus stations,Switzerland,NU,2,2,ok
LC,Bus stations,Switzerland,DL,0,0,ok
LC,Bus stations,Switzerland,UL,0,0,ok
LC,Bus stations,UK,NU,2,2,ok
LC,Bus stations,UK,DL,0,0,ok
LC,Bus stations,UK,UL,0,0,ok
LC,Train stations,Austria,NU,2,2,ok
LC,Train stations,Austria,DL,F*,,failed_phone_settings
LC,Train stations,Austria,UL,F,,failed_phone_settings
LC,Train stations,Belgium,NU,2,2,ok
LC,Train stations,Belgium,DL,0,0,ok
LC,Train stations,Belgium,UL,0,0,ok
LC,Train stations,France,NU,2,2,ok
LC,Train stations,France,DL,1,1,ok
LC,Train stations,France,UL,1,1,ok
LC,Train stations,Hungary,NU,3,3,ok
LC,Train stations,Hungary,DL,0,0,ok
LC,Train stations,Hungary,UL,0,0,ok
LC,Train stations,Italy,NU,3,3,ok
LC,Train stations,Italy,DL,0,0,ok
LC,Train stations,Italy,UL,0,0,ok
LC,Train stations,Netherlands,NU,2,2,ok
LC,Train stations,Netherlands,DL,2,2,ok
LC,Train stations,Netherlands,UL,2,2,ok
LC,Train stations,Poland,NU,2,2,ok
LC,Train stations,Poland,DL,3,3,ok
LC,Train stations,Poland,UL,FT,,failed_low_throughput
LC,Train stations,Spain,NU,3,3,ok
LC,Train stations,Spain,DL,1,1,ok
LC,Train stations,Spain,UL,1,1,ok
LC,Train stations,Switzerland,NU,3,3,ok
LC,Train stations,Switzerland,DL,0,0,ok
LC,Train stations,Switzerland,UL,0,0,ok
LC,Train stations,UK,NU,3,3,ok
LC,Train stations,UK,DL,0,0,ok
LC,Train stations,UK,UL,0,0,ok
LC,Metro station,Austria,NU,5,5,ok
LC,Metro station,Austria,DL,F*,,failed_phone_settings
LC,Metro station,Austria,UL,F,,failed_phone_settings
LC,Metro station,Belgium,NU,1,1,ok
LC,Metro station,Belgium,DL,0,0,ok
LC,Metro station,Belgium,UL,0,0,ok
LC,Metro station,France,NU,2,2,ok
LC,Metro station,France,DL,3,3,ok
LC,Metro station,France,UL,2,2,ok
LC,Metro station,Hungary,NU,1,1,ok
LC,Metro station,Hungary,DL,0,0,ok
LC,Metro station,Hungary,UL,0,0,ok
LC,Metro station,Italy,NU,0,0,ok
LC,Metro station,Italy,DL,0,0,ok
LC,Metro station,Italy,UL,0,0,ok
LC,Metro station,Netherlands,NU,1,1,ok
LC,Metro station,Netherlands,DL,1,1,ok
LC,Metro station,Netherlands,UL,1,1,ok
LC,Metro station,Poland,NU,0,0,ok
LC,Metro station,Poland,DL,0,0,ok
LC,Metro station,Poland,UL,0,0,ok
LC,Metro station,Spain,NU,1,1,ok
LC,Metro station,Spain,DL,1,1,ok
LC,Metro station,Spain,UL,1,1,ok
LC,Metro station,Switzerland,NU,0,0,ok
LC,Metro station,Switzerland,DL,0,0,ok
LC,Metro station,Switzerland,UL,0,0,ok
LC,Metro station,UK,NU,1,1,ok
LC,Metro station,UK,DL,0,0,ok
LC,Metro station,UK,UL,0,0,ok
LC,Bus,Austria,NU,1,1,ok
LC,Bus,Austria,DL,F*,,failed_phone_settings
LC,Bus,Austria,UL,F,,failed_phone_settings
LC,Bus,Belgium,NU,0,0,ok
LC,Bus,Belgium,DL,0,0,ok
LC,Bus,Belgium,UL,1,1,ok
LC,Bus,France,NU,2,2,ok
LC,Bus,France,DL,2,2,ok
LC,Bus,France,UL,2,2,ok
LC,Bus,Hungary,NU,4,4,ok
LC,Bus,Hungary,DL,2,2,ok
LC,Bus,Hungary,UL,2,2,ok
LC,Bus,Italy,NU,3,3,ok
LC,Bus,Italy,DL,1,1,ok
LC,Bus,Italy,UL,0,0,ok
LC,Bus,Netherlands,NU,1,1,ok
LC,Bus,Netherlands,DL,2,2,ok
LC,Bus,Netherlands,UL,1,1,ok
LC,Bus,Poland,NU,2,2,ok
LC,Bus,Poland,DL,1,1,ok
LC,Bus,Poland,UL,1,1,ok
LC,Bus,Spain,NU,9,9,ok
LC,Bus,Spain,DL,1,1,ok
LC,Bus,Spain,UL,1,1,ok
LC,Bus,Switzerland,NU,7,7,ok
LC,Bus,Switzerland,DL,0,0,ok
LC,Bus,Switzerland,UL,2,2,ok
LC,Bus,UK,NU,7,7,ok
LC,Bus,UK,DL,4,4,ok
LC,Bus,UK,UL,4,4,ok
LC,Train,Austria,NU,3,3,ok
LC,Train,Austria,DL,F*,,failed_phone_settings
LC,Train,Austria,UL,F,,failed_phone_settings
LC,Train,Belgium,NU,7,7,ok
LC,Train,Belgium,DL,7,7,ok
LC,Train,Belgium,UL,4,4,ok
LC,Train,France,NU,1,1,ok
LC,Train,France,DL,2,2,ok
LC,Train,France,UL,1,1,ok
LC,Train,Hungary,NU,3,3,ok
LC,Train,Hungary,DL,1,1,ok
LC,Train,Hungary,UL,1,1,ok
LC,Train,Italy,NU,0,0,ok
LC,Train,Italy,DL,0,0,ok
LC,Train,Italy,UL,0,0,ok
LC,Train,Netherlands,NU,0,0,ok
LC,Train,Netherlands,DL,0,0,ok
LC,Train,Netherlands,UL,0,0,ok
LC,Train,Poland,NU,1,1,ok
LC,Train,Poland,DL,2,2,ok
LC,Train,Poland,UL,1,1,ok
LC,Train,Spain,NU,1,1,ok
LC,Train,Spain,DL,F,,failed_phone_settings
LC,Train,Spain,UL,F,,failed_phone_settings
LC,Train,Switzerland,NU,10,10,ok
LC,Train,Switzerland,DL,2,2,ok
LC,Train,Switzerland,UL,2,2,ok
LC,Train,UK,NU,1,1,ok
LC,Train,UK,DL,1,1,ok
LC,Train,UK,UL,3,3,ok
LC,Metro,Austria,NU,3,3,ok
LC,Metro,Austria,DL,F*,,failed_phone_settings
LC,Metro,Austria,UL,F,,failed_phone_settings
LC,Metro,Belgium,NU,2,2,ok
LC,Metro,Belgium,DL,1,1,ok
LC,Metro,Belgium,UL,2,2,ok
LC,Metro,France,NU,2,2,ok
LC,Metro,France,DL,2,2,ok
LC,Metro,France,UL,2,2,ok
LC,Metro,Hungary,NU,2,2,ok
LC,Metro,Hungary,DL,0,0,ok
LC,Metro,Hungary,UL,0,0,ok
LC,Metro,Italy,NU,1,1,ok
LC,Metro,Italy,DL,0,0,ok
LC,Metro,Italy,UL,0,0,ok
LC,Metro,Netherlands,NU,1,1,ok
LC,Metro,Netherlands,DL,0,0,ok
LC,Metro,Netherlands,UL,0,0,ok
LC,Metro,Poland,NU,1,1,ok
LC,Metro,Poland,DL,2,2,ok
LC,Metro,Poland,UL,1,1,ok
LC,Metro,Spain,NU,3,3,ok
LC,Metro,Spain,DL,1,1,ok
LC,Metro,Spain,UL,1,1,ok
LC,Metro,Switzerland,NU,0,0,ok
LC,Metro,Switzerland,DL,0,0,ok
LC,Metro,Switzerland,UL,0,0,ok
LC,Metro,UK,NU,9,9,ok
LC,Metro,UK,DL,3,3,ok
LC,Metro,UK,UL,4,4,ok
LC,Tram,Austria,NU,4,4,ok
LC,Tram,Austria,DL,F*,,failed_phone_settings
LC,Tram,Austria,UL,F,,failed_phone_settings
LC,Tram,Belgium,NU,3,3,ok
